"Blooket
Import Template",,,,,,,
42,"🧵 Is writing *ptr from two
threads simultaneously safe?","No: data race on the
managed object","Yes: shared_ptr is
fully thread-safe","Yes: atomic ref-count
protects the value",Only unsafe on ARM,25,1
43,Multithreading lecture summary,good,yes,true,1,30,"1,2,3,4"
44,🔢 What does this code print?,"Not Equal (0.1+0.2
has rounding error)","Equal (IEEE 754
is exact)","Compile error: ==
invalid for doubles",Undefined behavior,20,1
45,"♾️ What does
'double x = 1.0/0.0' print?",+inf,Crash: divide by zero,0,NaN,20,1
46,"🤯 What does this
NaN comparison print?","not equal (NaN != NaN
is always true)",equal (NaN is unique),Undefined behavior,Compile error,25,1
47,"⚡ What does -ffast-math
do to floating-point code?","Allows non-IEEE optimizations,
may change results","Only speeds up integers,
floats unchanged","Forces strict IEEE 754
compliance","Disables SIMD
instructions",30,1
48,Numbers lecture summary,good,yes,true,1,30,"1,2,3,4"
49,"17️⃣ What C++17 feature does
'auto [id, name] = ...' use?","Structured bindings:
unpack tuple/struct",Template parameter pack,"std::pair destructuring
(C++11 feature)","Move semantics
on return value",20,1
50,"🔍 After the closing brace,
is 'it' accessible?","No: 'it' is scoped
to the if block","Yes: 'it' is a
regular local variable","Only in the else
branch","Only if the if
condition was true",25,1
51,"⚙️ Why does info(42) compile even
though 'val.size()' is in the code?","constexpr if discards the else branch
at compile time for int","The compiler ignores
unreachable code paths","int has a .size()
method in C++17","Template instantiation
defers all checks",30,1
52,C++17 lecture summary,good,yes,true,1,30,"1,2,3,4"
